Arte,Dia,Cantidad
ARTE,1.LUNES,1
ARTE,2.MARTES,8
ARTE,3.MIÉRCOLES,9
ARTE,4.JUEVES,24
ARTE,5.VIERNES,14
ARTE,6.SÁBADO,67
ARTE,7.DOMINGO,10
BAILE,1.LUNES,2
BAILE,2.MARTES,5
BAILE,3.MIÉRCOLES,9
BAILE,4.JUEVES,21
BAILE,5.VIERNES,9
BAILE,6.SÁBADO,59
BAILE,7.DOMINGO,10
MANUALIDADES,1.LUNES,0
MANUALIDADES,2.MARTES,0
MANUALIDADES,3.MIÉRCOLES,3
MANUALIDADES,4.JUEVES,2
MANUALIDADES,5.VIERNES,9
MANUALIDADES,6.SÁBADO,18
MANUALIDADES,7.DOMINGO,1
MAQUILLAJE,1.LUNES,0
MAQUILLAJE,2.MARTES,1
MAQUILLAJE,3.MIÉRCOLES,1
MAQUILLAJE,4.JUEVES,0
MAQUILLAJE,5.VIERNES,1
MAQUILLAJE,6.SÁBADO,4
MAQUILLAJE,7.DOMINGO,1
MUSICA,1.LUNES,6
MUSICA,2.MARTES,10
MUSICA,3.MIÉRCOLES,12
MUSICA,4.JUEVES,20
MUSICA,5.VIERNES,16
MUSICA,6.SÁBADO,96
MUSICA,7.DOMINGO,9
TEATRO,1.LUNES,1
TEATRO,2.MARTES,2
TEATRO,3.MIÉRCOLES,2
TEATRO,4.JUEVES,4
TEATRO,5.VIERNES,3
TEATRO,6.SÁBADO,10
TEATRO,7.DOMINGO,2
TECNICA VOCAL,1.LUNES,0
TECNICA VOCAL,2.MARTES,0
TECNICA VOCAL,3.MIÉRCOLES,0
TECNICA VOCAL,4.JUEVES,2
TECNICA VOCAL,5.VIERNES,2
TECNICA VOCAL,6.SÁBADO,7
TECNICA VOCAL,7.DOMINGO,2
PINTURA,1.LUNES,0
PINTURA,2.MARTES,2
PINTURA,3.MIÉRCOLES,3
PINTURA,4.JUEVES,1
PINTURA,5.VIERNES,5
PINTURA,6.SÁBADO,9
PINTURA,7.DOMINGO,0
LITERATURA,1.LUNES,0
LITERATURA,2.MARTES,4
LITERATURA,3.MIÉRCOLES,1
LITERATURA,4.JUEVES,6
LITERATURA,5.VIERNES,2
LITERATURA,6.SÁBADO,9
LITERATURA,7.DOMINGO,0
